interaction_id,location,time_of_day,weather
166,Los Angeles,Evening,Rainy
167,San Francisco,Morning,Rainy
168,Chicago,Night,Sunny
169,New York,Afternoon,Cloudy
170,New York,Evening,Rainy
171,Chicago,Morning,Rainy
172,San Francisco,Afternoon,Rainy
173,Houston,Night,Snowy
174,Los Angeles,Evening,Cloudy
175,Houston,Morning,Snowy
176,New York,Night,Sunny
177,New York,Afternoon,Rainy
178,Los Angeles,Morning,Sunny
179,Chicago,Evening,Cloudy
180,Los Angeles,Night,Rainy
181,Chicago,Night,Cloudy
182,Chicago,Evening,Snowy
183,San Francisco,Night,Sunny
184,New York,Morning,Cloudy
185,New York,Evening,Snowy
186,Los Angeles,Afternoon,Sunny
187,Los Angeles,Afternoon,Cloudy
188,New York,Afternoon,Snowy
189,New York,Morning,Snowy
190,Los Angeles,Evening,Cloudy
191,Houston,Evening,Cloudy
192,Los Angeles,Afternoon,Sunny
193,Chicago,Morning,Rainy
194,Los Angeles,Afternoon,Rainy
195,Chicago,Night,Rainy
196,Houston,Night,Sunny
197,New York,Morning,Cloudy
198,Los Angeles,Afternoon,Snowy
199,Houston,Morning,Rainy
200,Los Angeles,Night,Snowy
201,New York,Night,Cloudy
202,Houston,Afternoon,Cloudy
203,Houston,Morning,Snowy
204,New York,Night,Rainy
205,Chicago,Evening,Snowy
206,Houston,Afternoon,Snowy
207,San Francisco,Morning,Snowy
208,Los Angeles,Afternoon,Cloudy
209,Houston,Morning,Snowy
210,New York,Afternoon,Cloudy
211,Houston,Evening,Snowy
212,Los Angeles,Morning,Sunny
213,Los Angeles,Night,Sunny
214,San Francisco,Afternoon,Rainy
215,Los Angeles,Morning,Rainy
216,San Francisco,Morning,Snowy
217,Houston,Afternoon,Cloudy
218,Chicago,Evening,Rainy
219,Houston,Night,Sunny
220,Chicago,Night,Snowy
221,Los Angeles,Night,Rainy
222,New York,Evening,Rainy
223,Los Angeles,Evening,Cloudy
224,San Francisco,Afternoon,Snowy
225,Chicago,Morning,Rainy
226,Chicago,Afternoon,Cloudy
227,New York,Afternoon,Cloudy
228,Chicago,Morning,Rainy
229,Los Angeles,Evening,Cloudy
230,Houston,Evening,Snowy
231,Chicago,Morning,Snowy
232,San Francisco,Afternoon,Cloudy
233,San Francisco,Night,Rainy
234,New York,Night,Cloudy
235,San Francisco,Morning,Rainy
236,New York,Morning,Cloudy
237,New York,Morning,Sunny
238,New York,Afternoon,Snowy
239,New York,Morning,Snowy
240,San Francisco,Afternoon,Sunny
241,Chicago,Morning,Rainy
242,San Francisco,Afternoon,Rainy
243,New York,Night,Rainy
244,Houston,Night,Cloudy
245,Houston,Night,Sunny
246,Houston,Evening,Rainy
247,Chicago,Evening,Cloudy
248,Los Angeles,Afternoon,Cloudy
249,Chicago,Evening,Cloudy
250,San Francisco,Evening,Sunny
251,Los Angeles,Evening,Snowy
252,Chicago,Morning,Cloudy
253,New York,Evening,Rainy
254,New York,Morning,Sunny
255,Los Angeles,Evening,Sunny
256,Chicago,Evening,Snowy
257,New York,Morning,Rainy
258,Chicago,Morning,Cloudy
259,San Francisco,Evening,Snowy
260,San Francisco,Night,Rainy
261,San Francisco,Night,Cloudy
262,Los Angeles,Morning,Snowy
263,Chicago,Evening,Snowy
264,Los Angeles,Night,Rainy
265,San Francisco,Night,Snowy
266,San Francisco,Evening,Cloudy
267,Chicago,Evening,Sunny
268,San Francisco,Morning,Snowy
269,Chicago,Afternoon,Rainy
270,New York,Afternoon,Cloudy
271,Los Angeles,Night,Rainy
272,New York,Morning,Snowy
273,San Francisco,Afternoon,Sunny
274,Los Angeles,Night,Sunny
275,San Francisco,Evening,Snowy
276,Chicago,Afternoon,Sunny
277,Los Angeles,Morning,Snowy
278,San Francisco,Morning,Sunny
279,Chicago,Afternoon,Sunny
280,San Francisco,Evening,Snowy
281,Los Angeles,Night,Cloudy
282,New York,Morning,Sunny
283,San Francisco,Night,Cloudy
284,Los Angeles,Afternoon,Rainy
285,New York,Evening,Snowy
286,New York,Night,Sunny
287,Houston,Morning,Snowy
288,Los Angeles,Afternoon,Sunny
289,Houston,Afternoon,Snowy
290,Los Angeles,Evening,Snowy
291,Houston,Morning,Cloudy
292,Chicago,Afternoon,Cloudy
293,New York,Morning,Rainy
294,Los Angeles,Night,Snowy
295,Los Angeles,Morning,Rainy
296,New York,Night,Rainy
297,New York,Morning,Sunny
298,Houston,Afternoon,Cloudy
299,San Francisco,Afternoon,Sunny
300,Chicago,Morning,Cloudy
301,Chicago,Morning,Rainy
302,Houston,Night,Rainy
303,Houston,Afternoon,Snowy
304,San Francisco,Morning,Cloudy
305,Los Angeles,Night,Cloudy
306,Chicago,Afternoon,Snowy
307,San Francisco,Morning,Cloudy
308,San Francisco,Night,Rainy
309,Chicago,Morning,Rainy
310,San Francisco,Morning,Cloudy
311,Los Angeles,Afternoon,Sunny
312,Houston,Afternoon,Snowy
313,San Francisco,Morning,Cloudy
314,Houston,Afternoon,Rainy
315,San Francisco,Night,Snowy
316,San Francisco,Afternoon,Sunny
317,Chicago,Afternoon,Sunny
318,Houston,Evening,Cloudy
319,Los Angeles,Morning,Cloudy
320,San Francisco,Morning,Sunny
321,Houston,Morning,Rainy
322,San Francisco,Evening,Sunny
323,Los Angeles,Night,Snowy
324,Houston,Evening,Sunny
325,Houston,Afternoon,Rainy
326,Los Angeles,Evening,Cloudy
327,San Francisco,Night,Rainy
328,Houston,Afternoon,Snowy
329,Houston,Morning,Sunny
330,Chicago,Night,Sunny
331,San Francisco,Afternoon,Sunny
332,Chicago,Night,Cloudy
333,Chicago,Afternoon,Snowy
334,Houston,Night,Sunny
335,San Francisco,Night,Snowy
336,Houston,Night,Cloudy
337,Los Angeles,Evening,Cloudy
338,New York,Morning,Cloudy
339,Chicago,Evening,Cloudy
340,Chicago,Evening,Cloudy
341,Houston,Afternoon,Snowy
342,Los Angeles,Morning,Rainy
343,San Francisco,Afternoon,Rainy
344,Los Angeles,Morning,Snowy
345,San Francisco,Morning,Snowy
346,Chicago,Night,Cloudy
347,Los Angeles,Evening,Rainy
348,Houston,Morning,Snowy
349,San Francisco,Morning,Cloudy
350,Houston,Night,Cloudy
351,Chicago,Night,Snowy
352,New York,Night,Snowy
353,Chicago,Morning,Rainy
354,San Francisco,Morning,Sunny
355,New York,Night,Sunny
356,New York,Night,Rainy
357,San Francisco,Morning,Snowy
358,New York,Morning,Snowy
359,San Francisco,Morning,Rainy
360,Chicago,Morning,Sunny
361,Houston,Evening,Sunny
362,New York,Evening,Rainy
363,San Francisco,Morning,Rainy
364,New York,Night,Snowy
365,San Francisco,Afternoon,Rainy
366,New York,Morning,Snowy
367,San Francisco,Night,Sunny
368,San Francisco,Morning,Sunny
369,Chicago,Evening,Cloudy
370,Houston,Morning,Sunny
371,New York,Night,Cloudy
372,Houston,Night,Cloudy
373,Chicago,Afternoon,Sunny
374,Houston,Evening,Snowy
375,New York,Night,Rainy
376,San Francisco,Afternoon,Rainy
377,Houston,Afternoon,Rainy
378,Houston,Afternoon,Cloudy
379,Los Angeles,Morning,Sunny
380,New York,Morning,Snowy
381,New York,Night,Snowy
382,Los Angeles,Evening,Snowy
383,Los Angeles,Afternoon,Cloudy
384,Chicago,Night,Rainy
385,New York,Afternoon,Snowy
386,San Francisco,Morning,Snowy
387,Chicago,Evening,Rainy
388,Houston,Morning,Cloudy
389,San Francisco,Night,Cloudy
390,Los Angeles,Night,Snowy
391,Los Angeles,Evening,Sunny
392,New York,Night,Snowy
393,Houston,Morning,Rainy
394,Chicago,Afternoon,Rainy
395,Houston,Morning,Cloudy
396,Chicago,Evening,Cloudy
397,Los Angeles,Morning,Snowy
398,Los Angeles,Afternoon,Rainy
399,San Francisco,Morning,Snowy
400,Houston,Afternoon,Sunny
401,New York,Evening,Snowy
402,Chicago,Afternoon,Cloudy
403,Chicago,Evening,Cloudy
404,New York,Evening,Sunny
405,Los Angeles,Morning,Cloudy
406,New York,Night,Cloudy
407,Houston,Evening,Snowy
408,New York,Morning,Rainy
409,Chicago,Afternoon,Cloudy
410,Chicago,Night,Cloudy
411,Chicago,Night,Rainy
412,Houston,Night,Cloudy
413,Chicago,Evening,Snowy
414,San Francisco,Afternoon,Rainy
415,Chicago,Evening,Rainy
416,San Francisco,Morning,Sunny
417,Chicago,Afternoon,Sunny
418,Los Angeles,Morning,Cloudy
419,Houston,Afternoon,Snowy
420,Los Angeles,Evening,Cloudy
421,Houston,Afternoon,Snowy
422,Chicago,Morning,Rainy
423,Chicago,Evening,Rainy
424,Los Angeles,Afternoon,Cloudy
425,Chicago,Afternoon,Snowy
426,Houston,Evening,Rainy
427,Los Angeles,Night,Cloudy
428,Houston,Night,Snowy
429,New York,Evening,Rainy
430,New York,Morning,Rainy
431,Los Angeles,Night,Cloudy
432,San Francisco,Afternoon,Sunny
433,Houston,Night,Sunny
434,New York,Night,Sunny
435,San Francisco,Morning,Sunny
436,Los Angeles,Evening,Rainy
437,Chicago,Night,Cloudy
438,San Francisco,Evening,Sunny
439,Houston,Morning,Rainy
440,Chicago,Afternoon,Sunny
441,San Francisco,Afternoon,Rainy
442,New York,Morning,Cloudy
443,Houston,Morning,Snowy
444,Los Angeles,Afternoon,Cloudy
445,San Francisco,Evening,Snowy
446,San Francisco,Afternoon,Rainy
447,Houston,Afternoon,Rainy
448,Chicago,Night,Rainy
449,Los Angeles,Afternoon,Cloudy
450,New York,Evening,Sunny
451,Chicago,Night,Sunny
452,Houston,Night,Rainy
453,Houston,Afternoon,Rainy
454,Chicago,Evening,Rainy
455,Chicago,Afternoon,Cloudy
456,Houston,Night,Rainy
457,Chicago,Morning,Snowy
458,Chicago,Afternoon,Rainy
459,Los Angeles,Evening,Rainy
460,Houston,Evening,Rainy
461,Houston,Morning,Sunny
462,Los Angeles,Night,Sunny
463,Houston,Evening,Cloudy
464,Chicago,Night,Snowy
465,Los Angeles,Evening,Sunny
466,Los Angeles,Afternoon,Snowy
467,Chicago,Afternoon,Snowy
468,Houston,Night,Sunny
469,New York,Afternoon,Rainy
470,San Francisco,Morning,Snowy
471,Houston,Morning,Sunny
472,Houston,Morning,Snowy
473,New York,Evening,Rainy
474,Los Angeles,Morning,Snowy
475,Los Angeles,Night,Snowy
476,San Francisco,Morning,Sunny
477,New York,Afternoon,Sunny
478,Houston,Evening,Rainy
479,San Francisco,Morning,Sunny
480,San Francisco,Evening,Cloudy
481,San Francisco,Afternoon,Rainy
482,Houston,Afternoon,Sunny
483,Los Angeles,Afternoon,Sunny
484,Los Angeles,Morning,Cloudy
485,New York,Evening,Rainy
486,Los Angeles,Afternoon,Sunny
487,San Francisco,Afternoon,Cloudy
488,Chicago,Evening,Sunny
489,Los Angeles,Morning,Sunny
490,Chicago,Afternoon,Cloudy
491,New York,Afternoon,Snowy
492,Los Angeles,Afternoon,Snowy
493,Chicago,Night,Sunny
494,Houston,Afternoon,Cloudy
495,New York,Evening,Sunny
496,Chicago,Afternoon,Cloudy
497,New York,Morning,Snowy
498,San Francisco,Afternoon,Cloudy
499,New York,Night,Sunny
500,San Francisco,Afternoon,Snowy
501,Houston,Afternoon,Snowy
502,Houston,Night,Snowy
503,New York,Night,Snowy
504,Chicago,Morning,Sunny
505,New York,Night,Sunny
506,Los Angeles,Afternoon,Rainy
507,San Francisco,Afternoon,Rainy
508,Los Angeles,Night,Cloudy
509,Chicago,Morning,Cloudy
510,Houston,Night,Rainy
511,Los Angeles,Evening,Cloudy
512,Los Angeles,Night,Sunny
513,Los Angeles,Evening,Sunny
514,Houston,Evening,Rainy
515,Chicago,Evening,Sunny
516,Houston,Night,Rainy
517,Houston,Afternoon,Cloudy
518,Los Angeles,Night,Rainy
519,New York,Morning,Snowy
520,Chicago,Morning,Sunny
521,Houston,Evening,Snowy
522,Chicago,Morning,Cloudy
523,Houston,Evening,Cloudy
524,Houston,Afternoon,Sunny
525,Los Angeles,Afternoon,Rainy
526,Houston,Afternoon,Rainy
527,New York,Night,Rainy
528,Los Angeles,Afternoon,Cloudy
529,Houston,Evening,Sunny
530,San Francisco,Evening,Rainy
531,Los Angeles,Night,Sunny
532,Chicago,Night,Sunny
533,Houston,Afternoon,Snowy
534,New York,Night,Sunny
535,New York,Afternoon,Rainy
536,New York,Night,Rainy
537,San Francisco,Morning,Rainy
538,New York,Night,Cloudy
539,San Francisco,Evening,Rainy
540,San Francisco,Night,Cloudy
541,Los Angeles,Morning,Rainy
542,Los Angeles,Night,Rainy
543,Chicago,Morning,Rainy
544,Los Angeles,Afternoon,Rainy
545,Los Angeles,Afternoon,Rainy
546,Los Angeles,Morning,Rainy
547,San Francisco,Morning,Sunny
548,Chicago,Night,Snowy
549,Houston,Evening,Sunny
550,Chicago,Evening,Sunny
551,San Francisco,Morning,Cloudy
552,Houston,Afternoon,Sunny
553,Houston,Night,Snowy
554,Los Angeles,Night,Sunny
555,Houston,Evening,Snowy
556,San Francisco,Evening,Snowy
557,San Francisco,Evening,Snowy
558,Chicago,Night,Sunny
559,New York,Afternoon,Cloudy
560,Los Angeles,Morning,Sunny
561,Houston,Afternoon,Cloudy
562,San Francisco,Morning,Cloudy
563,Los Angeles,Afternoon,Cloudy
564,New York,Evening,Cloudy
565,Houston,Morning,Snowy
566,Chicago,Evening,Snowy
567,New York,Night,Cloudy
568,Chicago,Evening,Rainy
569,San Francisco,Night,Snowy
570,Chicago,Morning,Rainy
571,Los Angeles,Night,Sunny
572,Chicago,Morning,Sunny
573,Los Angeles,Afternoon,Sunny
574,Chicago,Afternoon,Rainy
575,New York,Evening,Snowy
576,New York,Morning,Cloudy
577,Houston,Night,Rainy
578,New York,Night,Rainy
579,San Francisco,Morning,Rainy
580,Chicago,Evening,Cloudy
581,New York,Morning,Cloudy
582,Houston,Evening,Cloudy
583,Chicago,Evening,Rainy
584,New York,Afternoon,Sunny
585,San Francisco,Afternoon,Cloudy
586,Los Angeles,Afternoon,Cloudy
587,Houston,Night,Sunny
588,Houston,Afternoon,Cloudy
589,New York,Evening,Sunny
590,San Francisco,Evening,Cloudy
591,New York,Night,Snowy
592,Chicago,Evening,Rainy
593,Houston,Evening,Rainy
594,Los Angeles,Morning,Sunny
595,Houston,Night,Cloudy
596,Houston,Afternoon,Sunny
597,San Francisco,Night,Cloudy
598,Houston,Afternoon,Snowy
599,Chicago,Afternoon,Cloudy
600,Los Angeles,Morning,Sunny
601,Houston,Afternoon,Snowy
602,San Francisco,Morning,Sunny
603,Chicago,Night,Sunny
604,Los Angeles,Afternoon,Snowy
605,Los Angeles,Afternoon,Sunny
606,San Francisco,Morning,Rainy
607,Chicago,Morning,Sunny
608,San Francisco,Afternoon,Rainy
609,Los Angeles,Afternoon,Rainy
610,Los Angeles,Evening,Sunny
611,Houston,Afternoon,Sunny
612,Chicago,Afternoon,Rainy
613,Houston,Evening,Snowy
614,San Francisco,Morning,Cloudy
615,Chicago,Night,Snowy
616,San Francisco,Night,Sunny
617,Houston,Afternoon,Rainy
618,Los Angeles,Afternoon,Sunny
619,San Francisco,Morning,Sunny
620,Houston,Evening,Sunny
621,New York,Night,Cloudy
622,Los Angeles,Afternoon,Sunny
623,New York,Afternoon,Cloudy
624,New York,Night,Snowy
625,New York,Night,Sunny
626,Los Angeles,Night,Sunny
627,San Francisco,Evening,Sunny
628,New York,Afternoon,Rainy
629,New York,Evening,Snowy
630,Houston,Morning,Snowy
631,Chicago,Morning,Rainy
632,San Francisco,Evening,Snowy
633,San Francisco,Evening,Cloudy
634,New York,Night,Snowy
635,New York,Night,Sunny
636,Chicago,Night,Cloudy
637,Houston,Evening,Cloudy
638,Los Angeles,Morning,Rainy
639,Houston,Morning,Sunny
640,Chicago,Afternoon,Cloudy
641,Los Angeles,Evening,Snowy
642,Los Angeles,Morning,Cloudy
643,Los Angeles,Evening,Sunny
644,San Francisco,Morning,Sunny
645,Los Angeles,Morning,Cloudy
646,Chicago,Night,Rainy
647,San Francisco,Afternoon,Snowy
648,Chicago,Afternoon,Snowy
649,Chicago,Afternoon,Sunny
650,New York,Evening,Snowy
651,Houston,Morning,Cloudy
652,New York,Evening,Cloudy
653,San Francisco,Evening,Rainy
654,San Francisco,Evening,Sunny
655,Chicago,Night,Cloudy
656,Los Angeles,Evening,Snowy
657,San Francisco,Morning,Sunny
658,New York,Night,Sunny
659,New York,Evening,Snowy
660,Chicago,Evening,Cloudy
661,Los Angeles,Morning,Snowy
662,Los Angeles,Morning,Rainy
663,Chicago,Night,Snowy
664,Houston,Afternoon,Cloudy
665,New York,Evening,Snowy
666,San Francisco,Morning,Cloudy
667,Houston,Morning,Cloudy
668,Houston,Morning,Sunny
669,San Francisco,Night,Sunny
670,New York,Night,Cloudy
671,Houston,Evening,Cloudy
672,San Francisco,Night,Sunny
673,Los Angeles,Afternoon,Snowy
674,Chicago,Morning,Snowy
675,Los Angeles,Afternoon,Cloudy
676,New York,Morning,Snowy
677,Chicago,Evening,Cloudy
678,New York,Afternoon,Rainy
679,Los Angeles,Night,Snowy
680,Chicago,Morning,Sunny
681,Los Angeles,Afternoon,Sunny
682,Chicago,Evening,Snowy
683,Los Angeles,Afternoon,Rainy
684,New York,Evening,Cloudy
685,San Francisco,Afternoon,Snowy
686,Los Angeles,Morning,Rainy
687,Chicago,Morning,Cloudy
688,Los Angeles,Night,Snowy
689,Houston,Morning,Sunny
690,New York,Afternoon,Snowy
691,New York,Morning,Snowy
692,New York,Afternoon,Sunny
693,New York,Morning,Sunny
694,Houston,Morning,Cloudy
695,San Francisco,Night,Rainy
696,Los Angeles,Night,Sunny
697,San Francisco,Evening,Cloudy
698,Chicago,Evening,Sunny
699,Los Angeles,Afternoon,Rainy
700,New York,Afternoon,Cloudy
701,San Francisco,Afternoon,Rainy
702,San Francisco,Evening,Cloudy
703,Chicago,Morning,Cloudy
704,Houston,Morning,Snowy
705,San Francisco,Afternoon,Snowy
706,Chicago,Evening,Cloudy
707,San Francisco,Night,Snowy
708,New York,Morning,Cloudy
709,San Francisco,Afternoon,Snowy
710,San Francisco,Afternoon,Rainy
711,New York,Evening,Sunny
712,San Francisco,Night,Snowy
713,Chicago,Night,Rainy
714,New York,Afternoon,Snowy
715,San Francisco,Morning,Rainy
716,Los Angeles,Morning,Sunny
717,San Francisco,Evening,Cloudy
718,New York,Night,Snowy
719,Houston,Evening,Sunny
720,New York,Afternoon,Snowy
721,Chicago,Morning,Sunny
722,Los Angeles,Afternoon,Cloudy
723,Los Angeles,Afternoon,Snowy
724,Los Angeles,Morning,Cloudy
725,San Francisco,Night,Snowy
726,Los Angeles,Afternoon,Sunny
727,Chicago,Evening,Cloudy
728,Chicago,Morning,Snowy
729,Los Angeles,Night,Rainy
730,Los Angeles,Evening,Sunny
731,New York,Evening,Sunny
732,Chicago,Evening,Sunny
733,New York,Morning,Rainy
734,Chicago,Afternoon,Cloudy
735,Los Angeles,Morning,Sunny
736,Chicago,Afternoon,Rainy
737,Los Angeles,Night,Snowy
738,Los Angeles,Afternoon,Snowy
739,Chicago,Evening,Sunny
740,San Francisco,Afternoon,Sunny
741,San Francisco,Morning,Snowy
742,New York,Evening,Snowy
743,San Francisco,Morning,Snowy
744,San Francisco,Evening,Cloudy
745,San Francisco,Night,Sunny
746,New York,Morning,Snowy
747,New York,Night,Sunny
748,Los Angeles,Afternoon,Cloudy
749,Houston,Night,Cloudy
750,San Francisco,Evening,Cloudy
751,San Francisco,Afternoon,Snowy
752,Houston,Afternoon,Cloudy
753,San Francisco,Afternoon,Cloudy
754,San Francisco,Afternoon,Rainy
755,San Francisco,Evening,Cloudy
756,Los Angeles,Night,Rainy
757,Chicago,Night,Sunny
758,Houston,Evening,Rainy
759,Chicago,Night,Rainy
760,San Francisco,Evening,Cloudy
761,Chicago,Night,Rainy
762,Los Angeles,Night,Sunny
763,Los Angeles,Evening,Rainy
764,Houston,Night,Cloudy
765,Chicago,Night,Rainy
766,San Francisco,Night,Rainy
767,Houston,Afternoon,Cloudy
768,Houston,Morning,Rainy
769,San Francisco,Night,Sunny
770,San Francisco,Evening,Cloudy
771,Chicago,Afternoon,Snowy
772,Chicago,Afternoon,Rainy
773,San Francisco,Afternoon,Snowy
774,Houston,Night,Rainy
775,San Francisco,Night,Sunny
776,San Francisco,Morning,Cloudy
777,San Francisco,Night,Rainy
778,Houston,Morning,Snowy
779,San Francisco,Evening,Rainy
780,New York,Morning,Cloudy
781,Los Angeles,Evening,Snowy
782,San Francisco,Morning,Snowy
783,Chicago,Afternoon,Sunny
784,New York,Evening,Sunny
785,San Francisco,Evening,Sunny
786,Houston,Morning,Rainy
787,Chicago,Evening,Rainy
788,New York,Afternoon,Sunny
789,Houston,Night,Snowy
790,San Francisco,Afternoon,Snowy
791,San Francisco,Night,Rainy
792,Chicago,Night,Cloudy
793,Los Angeles,Night,Snowy
794,Los Angeles,Afternoon,Cloudy
795,San Francisco,Morning,Sunny
796,Los Angeles,Morning,Rainy
797,New York,Night,Sunny
798,Chicago,Night,Cloudy
799,Chicago,Evening,Cloudy
800,New York,Morning,Sunny
801,Chicago,Night,Snowy
802,San Francisco,Morning,Rainy
803,Houston,Night,Rainy
804,New York,Afternoon,Rainy
805,New York,Evening,Sunny
806,Los Angeles,Night,Rainy
807,San Francisco,Morning,Snowy
808,New York,Morning,Sunny
809,Chicago,Morning,Sunny
810,Houston,Evening,Cloudy
811,Houston,Morning,Cloudy
812,Chicago,Afternoon,Rainy
813,Los Angeles,Morning,Sunny
814,San Francisco,Afternoon,Cloudy
815,Los Angeles,Night,Rainy
816,New York,Evening,Sunny
817,New York,Morning,Sunny
818,New York,Afternoon,Snowy
819,New York,Night,Cloudy
820,San Francisco,Afternoon,Snowy
821,New York,Night,Rainy
822,San Francisco,Morning,Snowy
823,New York,Morning,Sunny
824,San Francisco,Night,Rainy
825,Chicago,Morning,Snowy
826,San Francisco,Morning,Rainy
827,San Francisco,Night,Sunny
828,New York,Morning,Sunny
829,Chicago,Night,Sunny
830,San Francisco,Afternoon,Cloudy
831,Chicago,Morning,Sunny
832,New York,Afternoon,Rainy
833,Houston,Morning,Snowy
834,Houston,Afternoon,Rainy
835,Houston,Morning,Cloudy
836,New York,Night,Snowy
837,Los Angeles,Night,Sunny
838,San Francisco,Evening,Cloudy
839,Los Angeles,Night,Cloudy
840,New York,Evening,Cloudy
841,Chicago,Afternoon,Sunny
842,San Francisco,Evening,Rainy
843,San Francisco,Evening,Cloudy
